original,0
"However, admirals have always needed additional facilities; a meeting room large enough to hold all the captains of the fleet, and a place for the admiral's staff to make plans and draw up orders.","Admirals always needed more space; a  large meeting room to gather all the captains of the fleet, and a place for the admiral's staff to make plans and draw up orders."
"The San Antonio Spurs are an American professional basketball team based in San Antonio, Texas.","The San Antonio Spurs is a basketball team based in San Antonio, Texas."
Implementations SSL and TLS have been widely implemented in several open source software projects.,SSL and TLS have been widely used in several open source software projects.
"Other Mario sports games include the Camelot-developed series Mario Golf and Mario Tennis, and, respectively, the baseball and soccer games Mario Superstar Baseball and Super Mario Strikers.","Other Camelot-developed Mario sports games include; Mario Golf, Tennis, Superstar Baseball, and Super Mario Strikers"
"Today I Feel Silly, and Other Moods That Make My Day, 1998; listed on the New York Times best-seller list for 9 weeks.","Today I Feel Silly, and Other Moods That Make My Day were New York times best sellers for 9 weeks in 1998."
"Islam emphasizes unity and defense of fellow Muslims, although many divisions of Islam (see Sunni-Shia relations, for example) exist.","Although Islam has many divisions, they stress their unity and defense of Muslims."
This split the tigers into two groups which then went on to develop independently.,This split the tigers into two separately developing groups.
"The area was the home of the Soanian Culture, which is evidenced by the discovery of fossils, tools, coins, and remains of ancient archaeological sites.","The area was the home of the Soanian Culture. The idea is supported by the discovery of fossils, tools, coins, and remains of ancient archaeological sites."
The genome includes both the genes and the non-coding sequences of the DNA.,The genome includes the genes and non-coding parts of the DNA.
"Melodifestivalen 2008 On february 23 Oliv participated in Melodifestivalen 2008, as she played cello during Mickey Huskic entry in semifinal three.","Oliv participated in Melodifestivalen on February 23, 2008.  She played the cello during Mickey Huskic's entry in the semifinal three."
"Muslims performing i'tikaf are required to stay within the mosque for ten consecutive days, often in worship or learning about Islam.",Muslims performing i'tikaf have to stay in the mosque for ten consecutive days.  They are in worship or learning about Islam.
These somewhat abstract concerns tend to determine some but not all details of a specific concrete market system where buyers and sellers actually meet and commit to trade.,These concerns tend to determine some details of a specific concrete market system where buyers and sellers actually meet and commit to trade.
Free Lossless Audio Codec (FLAC) is a file format for lossless audio data compression.,Free Lossless Audio Codec is a file format for audio data compression that doesn't lose quality.
"On December 19, 2006, a large white plume of condensing steam was observed, leading some media people to assume there had been a small eruption.","There was a large white plume of condensing steam seen on December 19, 2006.  It lead some media people to assume there had been a small eruption."
Many of the municipalities in the area receive their drinking water directly from Vättern.,Many municipalities in the area got their drinking water from Vättern.
"He resumed his post in July, with no apparent reduction in his ruthlessness.","He returned to his post in July, just as ruthlessly."
"Lady Agnes Hay's son, Alexander Duff, married Princess Louise, daughter of King Edward VII.",Lady Agnes Hay's son married the daughter of King Edward VII.
"Santiago, is the capital and largest city of Chile, and the center of its largest conurbation (Greater Santiago).",Santiago is Chile's capital and largest city. It is the center of Greater Santiago.
Selling out is often seen as gaining success at the cost of credibility.,Gaining success but losing trust is called selling out.
"It is 78% nitrogen and 21% oxygen, with trace amounts of water vapor, carbon dioxide and other gaseous molecules.","It is 78% nitrogen and 21% oxygen, with small amounts of water vapor, carbon dioxide and other gaseous molecules."
"He returns in the 2007 series of Doctor Who, reuniting with the tenth incarnation of the Doctor, and returned again for the 2008 series.","He returns in the 2007 series of Doctor Who, reuniting with the tenth version of the Doctor.  He comes back again for the 2008 series."
"Luciano Spinosi (born May 9, 1950, Rome) is an Italian former football player.",Luciano Spinosi is an Italian former football player.
Etymology This bird's name commemorates the American ornithologist George Newbold Lawrence.,This bird's name is in memory of the American ornithologist George Newbold Lawrence.
Punt Road underpasses directly under the station via a major interchange with Swan Street and Brunton Avenue.,Punt Road crosses directly under the station via a major interchange with Swan Street and Brunton Avenue.
History The district was formed in 1994 by merging the two previous districts Marienberg and Zschopau.,The district was made in 1994 by combining the two previous districts Marienberg and Zschopau.
"On January 4, 1999, Mick Foley, who had wrestled for WCW during the early 1990s as Cactus Jack, won the WWF Title as Mankind on Raw.","On January 4, 1999, Mick Foley won the WWF Title as Mankind on Raw."
"Taylor walks around the scene spectating without interacting with Jordison or the females, there is a moment in which Jordison is looking in a mirror and Taylor suddenly appears.",Taylor walks around the scene watching without interacting with Jordison or the females. There is a moment in which Jordison is looking in a mirror and Taylor suddenly appears.
